KATEGORI;NAMN;ADRESS;HEMSIDA;Kategori webb;Exportdatum;geo_shape;geo_point_2d
Skolrestauranger;Solrosens Förskola;Skaragatan 67;https://solrosensforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.727852830816579, 56.0492197615564]}";56.0492197616,12.7278528308
Skolrestauranger;Stattena Förskola;O D Krooks Gata 62;https://stattenaforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.696947982021161, 56.06042708663874]}";56.0604270866,12.696947982
Skolrestauranger;Söderskolan;Magistergatan 2;https://soderskolan.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.709029180486306, 56.03916853668928]}";56.0391685367,12.7090291805
Skolrestauranger;Trollsländans Förskola;Bjäregatan 19;https://trollslandansforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.70875206228631, 56.04024826305351]}";56.0402482631,12.7087520623
Skolrestauranger;Tågaborgsskolan, Skolrestaurang;Hjälmshultsgatan 17;https://tagaborgsskolan.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.696998264923643, 56.056936276319824]}";56.0569362763,12.6969982649
Skolrestauranger;Västra Berga Förskola;Volontärsgatan 15;https://vastrabergaforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.707379220592685, 56.0702563568725]}";56.0702563569,12.7073792206
Skolrestauranger;Änglagårdens Förskola;Allerums Kyrkväg 3;;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.690831510568461, 56.108742336768174]}";56.1087423368,12.6908315106
Skolrestauranger;Ättekulla Förskola;Bärnstensgatan 34;https://attekullaforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.758000555306971, 56.01243047279308]}";56.0124304728,12.7580005553
Skolrestauranger;Ödåkra Montessoriförskola;Drivhusgatan 1;http://odakramontessori.norlandiaforskolor.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.743990290240307, 56.10306710978401]}";56.1030671098,12.7439902902
Snabbmat;Fast Food F&T KB (Pastavagn AOM 102);Basaltgatan 15;;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.753189016148841, 56.076175500789844]}";56.0761755008,12.7531890161
Snabbmat;Fresco;Stabsgatan 1;;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.734368538806516, 56.06093351620866]}";56.0609335162,12.7343685388
Snabbmat;Hotell Stadsparken;Bruksgatan 40;;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.697411786713475, 56.043528060108855]}";56.0435280601,12.6974117867
Snabbmat;Max Hamburgerrestaurang I Väla Ab;Björkavägen 103;;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.76484525156709, 56.092135612046086]}";56.092135612,12.7648452516
Snabbmat;Pizzeria Cleopatra;Roskildegatan 4;http://pizzeriacleopatra.com/;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.689434477808515, 56.04917570798582]}";56.049175708,12.6894344778
Snabbmat;Pizzeria Istra;Elinebergsvägen 14A;http://pizzeriaistra.se/sv/;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.730942610469222, 56.028608847088]}";56.0286088471,12.7309426105
